seq_id	alignment_start	alignment_end	envelope_start	envelope_end	hmm_acc	hmm_name	hmm_start	hmm_end	hmm_length	bit_score	Individual_E_value	Conditional_E_value	database_significant	outcompeted	clan
>evm.model.1.10740	1083	1241	1083	1243	PF08519.12	RFC1	1	154	157	139.11	1.3e-40	5.1e-44	1	0	
>evm.model.1.10740	182	269	182	269	PF03088.16	Str_synth	1	89	89	95.39	1.7e-27	6.5e-31	1	0	CL0186
>evm.model.1.10740	618	693	616	693	PF00533.26	BRCT	3	79	79	60.15	2.0e-16	7.6e-20	1	0	CL0459
>evm.model.1.10740	135	300	115	358	PF08450.12	SGL	42	202	246	52.75	4.1e-14	1.6e-17	1	1	CL0186
>evm.model.1.10740	810	910	810	941	PF00004.29	AAA	1	94	132	45.90	7.1e-12	2.8e-15	1	0	CL0023
>evm.model.1.10740	632	681	624	685	PF12738.7	PTCB-BRCT	8	56	63	25.71	8.0e-06	3.1e-09	1	1	CL0459
>evm.model.1.10808	663	866	663	867	PF00644.20	PARP	1	194	195	161.55	1.7e-47	5.7e-51	1	0	CL0084
>evm.model.1.10808	163	213	162	213	PF08063.12	PADR1	2	53	53	69.61	1.4e-19	4.6e-23	1	0	CL0306
>evm.model.1.10808	516	649	516	649	PF02877.14	PARP_reg	1	136	136	66.85	1.9e-18	6.5e-22	1	0	
>evm.model.1.10808	399	477	399	481	PF05406.15	WGR	1	78	80	47.88	1.1e-12	3.5e-16	1	0	
>evm.model.1.10808	251	327	248	327	PF00533.26	BRCT	4	79	79	36.60	4.4e-09	1.5e-12	1	0	CL0459
>evm.model.1.10808	265	338	251	339	PF16589.5	BRCT_2	18	84	85	29.68	6.5e-07	2.2e-10	1	1	CL0459
>evm.model.1.3990	53	107	53	117	PF12738.7	PTCB-BRCT	1	57	63	39.81	3.2e-10	3.5e-14	1	0	CL0459
>evm.model.1.3990	47	108	45	122	PF00533.26	BRCT	3	69	79	22.18	0.00014	1.5e-08	1	1	CL0459
>evm.model.1.7034	450	596	450	597	PF00817.20	IMS	1	149	150	146.10	7.5e-43	2.1e-46	1	0	
>evm.model.1.7034	683	805	681	807	PF11799.8	IMS_C	7	114	118	51.38	1.6e-13	4.5e-17	1	0	
>evm.model.1.7034	149	236	148	237	PF16589.5	BRCT_2	2	84	85	34.44	2.1e-08	5.9e-12	1	0	CL0459
